zip,type,primary_city,latitude,longitude,irs_estimated_population_2014
75574,STANDARD,Simms,33.35,-94.5,1550
75599,UNIQUE,Texarkana,33.44,-94.07,0
75601,STANDARD,Longview,32.51,-94.76,13130
75602,STANDARD,Longview,32.45,-94.67,20890
75603,STANDARD,Longview,32.4,-94.71,5330
75604,STANDARD,Longview,32.51,-94.82,27420
75605,STANDARD,Longview,32.58,-94.73,26530
75606,PO BOX,Longview,32.51,-94.76,1736
75607,PO BOX,Longview,32.51,-94.76,1897
75608,PO BOX,Longview,32.51,-94.76,1479
75615,PO BOX,Longview,32.51,-94.76,512
75630,STANDARD,Avinger,32.89,-94.55,1980
75631,STANDARD,Beckville,32.24,-94.45,2500
75633,STANDARD,Carthage,32.15,-94.33,13170
75636,PO BOX,Cason,33.03,-94.81,371
75637,PO BOX,Clayton,32.08,-94.49,123
75638,STANDARD,Daingerfield,33.03,-94.72,4580
75639,STANDARD,De Berry,32.21,-94.14,2400
75640,STANDARD,Diana,32.69,-94.66,4330
75641,PO BOX,Easton,32.38,-94.58,271
75642,PO BOX,Elysian Fields,32.37,-94.18,525
75643,STANDARD,Gary,32.02,-94.36,1740
75644,STANDARD,Gilmer,32.73,-94.94,10300
75645,STANDARD,Gilmer,32.69,-94.87,8420
75647,STANDARD,Gladewater,32.54,-94.94,11730
75650,STANDARD,Hallsville,32.5,-94.57,9010
75651,STANDARD,Harleton,32.66,-94.52,2080
75652,STANDARD,Henderson,32.24,-94.73,10940
75653,PO BOX,Henderson,32.15,-94.79,1660
75654,STANDARD,Henderson,32.15,-94.79,10830
75656,STANDARD,Hughes Springs,32.99,-94.63,4150
75657,STANDARD,Jefferson,32.76,-94.34,6520
75658,PO BOX,Joinerville,32.17,-94.9,271
75659,PO BOX,Jonesville,32.49,-94.11,226
75660,PO BOX,Judson,32.59,-94.76,484
75661,STANDARD,Karnack,32.62,-94.14,1920
75662,STANDARD,Kilgore,32.38,-94.86,22190
75663,PO BOX,Kilgore,32.38,-94.86,2304
75666,PO BOX,Laird Hill,32.35,-94.9,591
75667,STANDARD,Laneville,31.94,-94.85,940
